time_ns,event_phase,event_origin_node,event_origin_sequence,node_id,flow_id,kind,applied,emitted_bytes,initial_rate_bps,minimum_rate_bps,maximum_rate_bps,additive_rate_bps,hyper_rate_bps,g_ppb,decrease_ppb,cnp_interval_ns,control_interval_ns,increase_byte_threshold,before_alpha_ppb,before_current_rate_bps,before_target_rate_bps,before_cnp_seen,before_last_cnp_time_ns,before_stage,before_stage_steps,before_bytes_since_increase,before_next_control_time_ns,after_alpha_ppb,after_current_rate_bps,after_target_rate_bps,after_cnp_seen,after_last_cnp_time_ns,after_stage,after_stage_steps,after_bytes_since_increase,after_next_control_time_ns
9000,1,0,34,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,8000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,9000,100000
10000,1,0,38,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,9000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,10000,100000
10858,0,2,5,0,0,cnp,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,10000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,0,100000
12000,1,0,46,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,0,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,1000,100000
14000,1,0,51,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,1000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,2000,100000
15000,1,0,52,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,2000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,3000,100000
17000,1,0,60,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,3000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,4000,100000
18000,1,0,61,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,4000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,5000,100000
20000,1,0,69,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,5000,100000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,6000,100000
20858,0,2,8,0,0,cnp,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,750000000,4921875000,7875000000,1,10858,fast_recovery,0,6000,100000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,0,100000
23000,1,0,75,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,0,100000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,1000,100000
26000,1,0,81,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,1000,100000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,2000,100000
28000,1,0,86,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,2000,100000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,3000,100000
100000,1,0,1,0,0,control,0,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,875000000,2768554687,4921875000,1,20858,fast_recovery,0,3000,100000,875000000,2768554687,4921875000,0,20858,fast_recovery,0,3000,200000
200000,1,0,90,0,0,control,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,875000000,2768554687,4921875000,0,20858,fast_recovery,0,3000,200000,437500000,3845214843,4921875000,0,20858,fast_recovery,1,3000,300000
300000,1,0,91,0,0,control,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,437500000,3845214843,4921875000,0,20858,fast_recovery,1,3000,300000,218750000,4383544921,4921875000,0,20858,fast_recovery,2,3000,400000
400000,1,0,92,0,0,control,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,218750000,4383544921,4921875000,0,20858,fast_recovery,2,3000,400000,109375000,4652709960,4921875000,0,20858,fast_recovery,3,3000,500000
500000,1,0,93,0,0,control,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,109375000,4652709960,4921875000,0,20858,fast_recovery,3,3000,500000,54687500,4787292480,4921875000,0,20858,fast_recovery,4,3000,600000
